StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q12_1	Q12_2	Q12_3	Q12_4	Q12_5	Q12_6	Q12_7	Q14_1	Q14_2	Q14_3	Q14_4	Q14_5	Q14_6	Q14_7	Q15_1	Q15_2	Q15_3	Q15_4	Q15_5	Q15_6	Q15_7	Q16_1	Q16_2	Q16_3	Q16_4	Q16_5	Q16_6	Q16_7	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q17_6	Q17_7	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q18_6	Q18_7	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q19_7	Q20_1	Q20_2	Q20_3	Q20_4	Q20_5	Q20_6	Q20_7	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q22_1	Q22_2	Q22_3	Q22_4	Q22_5	Q22_6	Q22_7	Q23_1	Q23_2	Q23_3	Q23_4	Q23_5	Q23_6	Q23_7	Q24_1	Q24_2	Q24_3	Q24_4	Q24_5	Q24_6	Q24_7	Q25_1	Q25_2	Q25_3	Q25_4	Q25_5	Q25_6	Q25_7	Q26_1	Q26_2	Q26_3	Q26_4	Q26_5	Q26_6	Q26_7	Q27_1	Q27_2	Q27_3	Q27_4	Q27_5	Q27_6	Q27_7
2019-05-10 10:44:03	2019-05-10 10:54:31	0	151.49.102.8	100	628	1	2019-05-10 10:54:31	R_2zBKHnkPpp1VJNQ					45.437103271484375	12.33270263671875	anonymous	EN-GB	1	26	2	107	4	Classical	35	Piano	13	16	15	15	15	15	15	15	6	4	1	1	3	1	1	1	3	6	1	3	3	4	1	6	4	1	1	3	1	3	1	1	5	4	5	3	1	1	4	3	5	6	3	3	1	1	4	4	4	1	4	3	4	3	3	4	4	5	3	1	1	3	5	1	3	3	5	1	1	4	4	4	6	5	1	1	6	1	3	1	3	3	4	4	1	3	3	5	4	5	5	4	1	3	6	1	1	4	3	3	1	6	1	3	5	4
2019-05-10 10:42:42	2019-05-10 11:27:42	0	129.234.21.185	100	2700	1	2019-05-10 11:27:44	R_1NERfgwV6F9lmUM					54.768402099609375	-1.5630950927734375	anonymous	EN-GB	1	22	1	185	1	Indie Pop	36			19	16	15	15	15	15	15	6	1	1	1	3	1	1	1	5	6	1	1	1	1	3	4	1	1	1	1	1	1	1	1	6	3	3	1	1	1	1	1	3	5	1	1	1	3	1	1	4	3	4	5	1	1	1	1	4	1	3	3	1	1	3	1	1	3	6	1	1	1	3	1	5	1	1	1	3	1	1	1	1	3	1	6	1	1	1	1	1	6	1	1	1	1	1	3	1	4	1	1	1	6	1	1	1	3
2019-05-10 11:48:53	2019-05-10 12:04:15	0	86.142.18.72	100	922	1	2019-05-10 12:04:16	R_3Get29azuhuBYBo					54.0001068115234375	-1.535003662109375	anonymous	EN-GB	1	55	2	185	6	Classical	35	"Piano, flute, voice, violin "	50	19	17	15	15	15	15	15	5	4	1	1	1	1	3	1	3	6	1	1	5	3	3	6	3	1	1	1	1	1	1	1	4	3	6	3	3	1	1	6	4	5	4	1	1	3	4	1	5	1	3	3	3	4	3	6	5	6	5	1	1	1	4	1	1	3	5	3	1	5	3	1	5	4	1	1	4	1	4	3	1	3	5	4	4	4	4	3	1	6	4	3	1	4	5	1	1	4	1	3	1	1	1	1	5	6
2019-05-10 12:03:38	2019-05-10 12:16:50	0	46.11.15.23	100	792	1	2019-05-10 12:16:51	R_1Nq85TjkfpR1JBc					35.87359619140625	14.506103515625	anonymous	EN-GB	1	29	2	107	2	Pop	36			18	15	15	16	16	15	15	4	4	1	3	3	1	1	1	1	6	1	1	6	3	1	6	3	1	1	1	1	3	4	1	4	4	1	1	1	3	1	1	3	1	1	1	1	4	1	1	5	4	3	5	3	1	1	4	1	6	4	1	3	4	1	1	1	1	6	1	1	5	4	1	6	3	1	1	3	1	3	1	1	4	5	1	1	1	4	4	1	1	4	3	1	4	3	1	1	3	3	1	3	4	1	1	4	4
2019-05-10 10:41:13	2019-05-10 12:20:37	0	129.234.80.183	100	5963	1	2019-05-10 12:20:37	R_27J6jveY6gZDSZG					54.768402099609375	-1.5630950927734375	anonymous	EN-GB	1	26	2	9	5	pop	35	piano	22	18	18	16	15	15	15	15	6	6	3	3	1	1	1	1	1	6	1	1	5	6	5	5	4	1	1	3	3	4	4	1	5	5	6	6	4	1	1	6	6	5	6	1	1	1	5	5	5	5	5	3	3	3	4	5	5	5	5	3	3	4	3	5	1	3	5	3	1	5	5	5	5	4	3	3	4	1	5	1	5	5	5	5	5	4	3	3	5	5	5	6	5	4	3	4	3	1	4	4	1	5	4	1	5	6
2019-05-10 12:11:45	2019-05-10 12:36:46	0	185.12.136.196	100	1500	1	2019-05-10 12:36:46	R_3Eig9x3XTTXf5tu					51.737701416015625	-1.2053985595703125	anonymous	EN-GB	1	36	1	185	2	Indie pop	36			16	15	15	15	16	15	16	5	3	1	1	1	1	1	1	1	6	1	1	1	1	1	4	1	1	1	1	1	1	1	1	4	6	3	1	1	1	1	1	4	1	5	1	1	1	1	3	1	3	3	1	1	1	3	3	3	5	3	1	1	1	1	1	1	1	5	1	1	3	3	3	1	3	1	1	1	1	1	1	1	1	4	1	3	1	1	1	1	3	3	3	1	3	5	1	1	1	1	1	1	5	1	1	4	1
2019-05-10 12:17:56	2019-05-10 12:46:06	0	46.11.15.23	100	1689	1	2019-05-10 12:46:06	R_3nGZvvDqLD60WBB					35.87359619140625	14.506103515625	anonymous	EN-GB	1	61	2	107	2	Movie soundtracks	36			15	19	16	15	15	15	15	6	3	1	1	3	1	1	1	5	5	1	1	4	3	3	5	3	1	1	1	1	5	1	1	3	3	1	1	1	1	1	3	3	1	3	1	1	5	1	3	3	3	3	1	1	1	3	1	1	5	5	1	1	3	1	1	1	1	5	1	1	5	5	3	1	3	1	1	3	3	3	1	3	1	3	1	1	3	1	1	3	3	1	1	1	3	3	1	1	3	3	1	1	5	1	1	5	4
2019-05-10 13:00:55	2019-05-10 13:12:44	0	46.11.15.23	100	709	1	2019-05-10 13:12:45	R_1oA0kVudXfRAhVl					35.87359619140625	14.506103515625	anonymous	EN-GB	1	30	1	107	2	House	36			16	17	16	15	15	15	15	6	4	1	1	4	1	4	1	4	6	1	1	4	3	5	5	3	1	3	3	3	1	3	3	1	3	3	4	1	3	4	1	3	3	3	1	3	4	1	1	4	3	3	3	4	1	3	3	3	5	3	1	3	4	1	4	1	1	6	1	1	5	3	3	5	4	1	3	3	3	3	3	1	1	4	3	6	4	4	1	1	3	3	3	3	5	4	1	3	4	4	1	3	5	1	1	5	4
2019-05-10 13:02:46	2019-05-10 13:20:53	0	195.158.82.3	100	1086	1	2019-05-10 13:20:53	R_2TAak5aJhe1f44U					35.912506103515625	14.502197265625	anonymous	EN-GB	1	33	1	107	1	Hiphop	36			17	16	15	15	15	16	16	5	1	1	1	1	1	1	1	1	5	1	1	3	4	1	3	3	1	1	3	4	1	1	1	4	4	1	1	1	1	1	3	3	4	3	1	1	5	1	1	5	4	1	3	4	1	1	3	4	3	4	1	1	1	1	1	1	1	5	1	1	1	1	1	3	5	1	1	1	1	1	1	1	1	3	3	4	1	1	1	1	1	4	4	1	3	4	1	1	1	4	1	1	4	1	1	3	4
2019-05-10 15:15:31	2019-05-10 15:30:25	0	217.30.100.196	100	894	1	2019-05-10 15:30:25	R_32Jzj8ZuUHVBnfc					35.8791961669921875	14.466705322265625	anonymous	EN-GB	1	27	2	107	2	Pop, Soft rock	35	"Singing. "	15	18	16	15	16	17	15	15	5	3	1	1	3	5	1	1	4	6	1	1	1	5	5	5	3	1	1	1	1	1	1	1	6	6	6	5	1	1	4	4	5	6	6	1	1	5	5	3	5	5	5	4	1	5	3	5	5	6	1	1	1	4	4	1	1	4	5	1	1	5	6	3	3	4	1	1	4	4	1	1	3	4	6	5	4	5	5	1	1	4	5	5	1	4	4	1	1	4	5	1	1	5	1	4	5	5
