"","Track","Category","Level","Album","id","Anger","Fear","Happy","Sad","Tender","Gender","Age","Musicianship","Emotion","Tension","Energy","Valence"
"1",1,"Anger","Moderate","Lethal weapon 3",1,9,1,1,5,1,"Male",30,2,"Discrete",NA,NA,NA
"2",2,"Anger","Moderate","The Rainmaker",1,7,1,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"3",3,"Anger","Moderate","The Alien Trilogy",1,1,1,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"4",4,"Anger","Moderate","Cape Fear",1,1,8,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"5",5,"Anger","Moderate","The Fifth Element",1,7,1,1,7,1,"Male",30,2,"Discrete",NA,NA,NA
"6",6,"Anger","High","Crouching Tiger ",1,1,3,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"7",7,"Anger","High","Batman Returns",1,7,3,1,5,1,"Male",30,2,"Discrete",NA,NA,NA
"8",8,"Anger","High","Man of Galilee CD1",1,1,1,1,9,1,"Male",30,2,"Discrete",NA,NA,NA
"9",9,"Anger","High","The Untouchables",1,1,1,1,2,1,"Male",30,2,"Discrete",NA,NA,NA
"10",10,"Anger","High","Oliver Twist",1,1,1,1,9,1,"Male",30,2,"Discrete",NA,NA,NA
"11",11,"Fear","Moderate","Batman Returns",1,1,9,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"12",12,"Fear","Moderate","JFK",1,1,3,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"13",13,"Fear","Moderate","JFK",1,1,4,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"14",14,"Fear","Moderate","The Alien Trilogy",1,4,8,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"15",15,"Fear","Moderate","Hannibal",1,1,5,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"16",16,"Fear","High","Running Scared",1,1,2,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"17",17,"Fear","High","The Untouchables",1,1,4,1,3,1,"Male",30,2,"Discrete",NA,NA,NA
"18",18,"Fear","High","The Fifth Element",1,4,4,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"19",19,"Fear","High","Lethal weapon 3",1,1,4,1,3,1,"Male",30,2,"Discrete",NA,NA,NA
"20",20,"Fear","High","Man of Galilee CD1",1,1,2,1,1,1,"Male",30,2,"Discrete",NA,NA,NA
"21",21,"Happy","Moderate","The Rainmaker",1,1,1,7,1,1,"Male",30,2,"Discrete",NA,NA,NA
"22",22,"Happy","Moderate","Batman",1,1,1,2,1,1,"Male",30,2,"Discrete",NA,NA,NA
"23",23,"Happy","Moderate","Shallow Grave",1,1,1,9,1,1,"Male",30,2,"Discrete",NA,NA,NA
"24",24,"Happy","Moderate","Man of Galilee CD1",1,1,1,4,1,1,"Male",30,2,"Discrete",NA,NA,NA
"25",25,"Happy","Moderate","Oliver Twist",1,1,1,6,6,3,"Male",30,2,"Discrete",NA,NA,NA
"26",26,"Happy","High","The Omen",1,1,1,1,5,5,"Male",30,2,"Discrete",NA,NA,NA
"27",27,"Happy","High","Oliver Twist",1,1,1,4,4,4,"Male",30,2,"Discrete",NA,NA,NA
"28",28,"Happy","High","Grizzly Man",1,1,1,3,1,9,"Male",30,2,"Discrete",NA,NA,NA
"29",29,"Happy","High","The Portait of a Lady",1,1,1,4,4,9,"Male",30,2,"Discrete",NA,NA,NA
"30",30,"Happy","High","Nostradamus",1,1,1,3,3,1,"Male",30,2,"Discrete",NA,NA,NA
