,valence,energy,tempo,acousticness,loudness,id
0,0.72,0.629,124.511,0.718,-7.056,2Gy7qnDwt8Z3MNxqat4CsK
1,0.778,0.226,123.792,0.908,-13.635,65jrjEhWfAvysKfnojk1i0
2,0.483,0.487,117.072,0.253,-7.525,6iGU74CwXuT4XVepjc9Emf
3,0.514,0.625,144.338,0.36,-7.813,3v9xlH6BpmRbqL7hgNJhfT
4,0.6,0.795,110.583,0.136,-6.02,4SGBuq37Ol4HJr7pQqFMKa
5,0.304,0.57,126.01,0.0118,-9.472,6rLqjzGV5VMLDWEnuUqi8q
6,0.881,0.684,132.509,0.52,-9.302,252YuUdUaC5OojaBU0H1CP
7,0.424,0.344,178.635,0.81,-9.378,3nsJGZ5RV2ZHkbKvD771gU
8,0.713,0.62,116.599,0.471,-6.069,6bJuuCtXYiwOcKT9s8uRh8
9,0.729,0.333,96.982,0.699,-10.914,6QyQmdvQ1ywNccYa0pwLNQ
10,0.903,0.745,125.575,0.402,-5.423,2ULL3VZf4WwBKO4vjwT7Bg
11,0.97,0.796,155.532,0.195,-6.313,5L0L3RyON6g8avnI20uubN
12,0.597,0.667,112.749,0.628,-10.226,63rva3TBizr6x1Yp5uwKfD
13,0.877,0.815,129.34,0.104,-9.377,1WPqawIF9HCKfSOt7mN6X0
14,0.709,0.464,109.853,0.742,-9.496,3EFb1qDgIqf9MegIryKtDj
15,0.847,0.716,132.309,0.659,-8.429,0cLZ9ecuhocv99BICMb59O
16,0.92,0.29,121.795,0.706,-17.501,7cNRqg0lbiqBaGeOlA4AEU
17,0.825,0.748,139.739,0.311,-6.243,3haZcHm3HydDVxm3je3Zmg
18,0.631,0.683,120.983,0.155,-5.771,2Zk0eoq7d6Vw0fRVRXPWnc
19,0.882,0.562,123.674,0.0624,-5.965,4PEeZ2U4UfP2Jo8EtIOjus
20,0.547,0.305,173.377,0.452,-12.167,6aXKbU2QGsOms8UT3eUOg1
21,0.887,0.953,124.287,0.0546,-6.504,0zABw1PtGYHsU4VDpDZsra
22,0.707,0.374,108.125,0.232,-10.084,1UBcwKIAUHo7BYAvae6yeA
23,0.688,0.517,127.401,0.765,-7.951,7N3UAu6FkwdBg9J7OONBBP
24,0.532,0.245,86.338,0.677,-14.27,1kz3vwmLiBlW3A73exQSNx
25,0.717,0.686,124.318,0.725,-5.607,2CQRYn5cTD2B9a1ONjhTN2
26,0.748,0.645,125.156,0.724,-8.254,5Rb211KhnOhLLXPpt8awxU
27,0.523,0.403,124.013,0.754,-12.737,51FeytYQARk2UoFCDBZ3RG
28,0.598,0.544,110.197,0.776,-8.308,7uGeDI6nJEdUYMsMd7mQyl
29,0.271,0.745,83.037,0.777,-6.998,44BmNSqH9uZV5OfIjGcER3
30,0.605,0.286,105.289,0.548,-11.494,3NFScsiDPfCzKgQQUL0674
31,0.356,0.553,116.04,0.565,-7.473,0VJZtH2OjNKskNegMVIzYR
32,0.635,0.557,209.953,0.237,-10.066,78Piv35GAw7BI81hFi8EmB
33,0.302,0.836,126.809,0.166,-7.048,3Ez3Pk5Xe6GmocOVZ6dEks
34,0.0807,0.31,87.872,0.254,-13.113,3GsgJI1aBrvUtqX8f3MhKT
35,0.865,0.594,73.145,0.69,-7.915,4dCoPKnDIEhcakAku7XPxG
36,0.121,0.434,88.872,0.119,-7.965,4fJtDPJ2NiLfFfZfu8HyYc
37,0.963,0.825,109.168,0.0865,-4.251,0jUfBCWrfrZGueD8MjvgMo
38,0.653,0.37,81.553,0.788,-11.023,2pVQtg1gfTftOLugm5ENov
39,0.857,0.62,143.561,0.0883,-7.681,3Zje70mXjYyMuzge8j24L9
40,0.438,0.261,104.464,0.813,-12.231,538IUnkjiDgU9Ndhf1wN2f
41,0.792,0.836,130.074,0.156,-6.201,2dodN02GgtiwitKWpDs9Ax
42,0.943,0.817,145.946,0.548,-5.48,4F2w3xgfaVJdCSAqDtJULv
43,0.819,0.644,119.809,0.754,-10.018,5m63cyB8bzbRSEs53K8CxF
44,0.935,0.545,135.241,0.648,-7.376,0jrdWPwYjUZvqfJcwE8ddh
45,0.806,0.734,133.887,0.00185,-8.889,2hrMZmKb5BX5ILM0JWjv6G
46,0.567,0.649,133.652,0.253,-8.345,44zDLad2CZrhWg2lg9nfuy
47,0.894,0.86,121.715,0.171,-5.976,2UizutYVqaB33jCHbSoi0d
48,0.21,0.231,185.534,0.844,-12.602,6kMZdaCLHWqECFKOatBPXF
49,0.445,0.581,186.427,0.513,-5.877,4CuO8TINNqM3D7aUdNQ3zG
50,0.431,0.789,129.172,0.481,-6.407,6kOGvRl0ie97TShrk210ON
51,0.504,0.699,139.94,0.599,-9.378,4GNmvOYZW11lGzcZm0FKGY
52,0.503,0.339,178.802,0.898,-12.88,62hD86PZld8yndmECtFlGO
53,0.102,0.243,85.94,0.0985,-11.335,6gDRRyg6bSODdwbuUBupoU
54,0.734,0.846,124.919,0.0585,-3.121,5ixQCurcV2gKLqJGMeLvpz
55,0.532,0.901,114.073,0.423,-3.657,1aDLqT0EJLdsWGtFmQLgih
56,0.969,0.795,118.707,0.583,-5.423,67HRoUJMVorQPymcqdkJVA
57,0.593,0.682,131.242,0.0663,-8.201,71mwyVnF4UkoofVD9bZjqR
58,0.641,0.426,75.866,0.775,-9.662,5RSQKtG1KNwrzFMEePpjt6
59,0.962,0.793,95.28,0.695,-6.393,02olBmYmVrodR2C6xroOzO
60,0.895,0.911,126.122,0.411,-6.228,3uqEiaO6MUoM89nLSIs05c
61,0.731,0.467,110.553,0.757,-11.183,46PzYzseHf3mSdkTMd8sgC
62,0.696,0.621,101.702,0.0627,-11.507,4aDBO2DBS6XPhnyHhALxYz
63,0.681,0.584,166.209,0.544,-6.245,2Bjic7K9fTNS8pYuMXq8Va
64,0.621,0.43,107.455,0.823,-11.287,46RVIZHY0PgIHT4Wbj1Swr
65,0.569,0.739,116.668,0.123,-5.715,5VsxBUyw0TRwVC7ja1CIBc
66,0.31,0.461,116.028,0.154,-9.338,0ObrXLrfrqJUNc8RfmIBHP
67,0.941,0.583,168.394,0.0906,-8.072,4ZQW8CvHE5adKbmMrJpzqM
68,0.506,0.741,115.628,0.342,-4.408,4ZSBGLE9j9buk6DXVSryBI
69,0.89,0.789,124.746,0.479,-6.959,6dLrSbDbxdg1QCJnqhBCAA
70,0.862,0.356,108.58,0.548,-14.788,3CH8M5lB931faZDzjCTfVW
71,0.967,0.721,129.596,0.484,-9.703,5s3zYvzEpBk0WbG6AgFUBK
72,0.652,0.75,121.082,0.489,-5.26,3Ev5ATks540KaOFTjIH97S
73,0.836,0.688,136.853,0.115,-9.357,6NIhm22UWaECPEdGm7VqEC
74,0.498,0.462,112.038,0.747,-8.109,4xR0HPOe0abZG0MZi8LYIv
75,0.97,0.58,117.97,0.345,-7.293,3Cs7DSIe8Ywa63Zjh327MQ
76,0.622,0.25,95.7,0.907,-19.277,6FPwoNnpbqqIyiDyXhRPtZ
77,0.902,0.513,146.099,0.29,-9.652,1Jp0vQZhLa7YCOBdb5frOM
78,0.961,0.744,122.297,0.0724,-6.714,3VSp8R0x274kkO6UG9Ejf3
79,0.709,0.752,121.766,0.614,-6.816,1Vv7ZtyDro81xmznV48gF6
80,0.798,0.768,116.844,0.0837,-6.406,6CcgkjU9891S2S4lHKXaYh
81,0.945,0.685,74.119,0.411,-8.666,6qBnFI2eznBHyHjg9kBT4K
82,0.383,0.526,109.968,0.665,-9.926,2mws4tIE5QT2b345hoCe0x
83,0.395,0.278,85.481,0.767,-12.12,1PBk81bJudnKT10GllH8HW
84,0.827,0.689,125.234,0.0541,-6.564,2wuEt9idXjHQyAKKfc5hzn
85,0.974,0.835,143.853,0.0225,-8.871,3bMt6mpqpDiCRQ3poewMAo
